2022.05.30 10:50:58 INFO  web[][DbMigrations] #5007 'Drop PK on 'kee' for 'issues' table': success | time=4ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5008 'Drop 'issues_kee' index': success | time=7ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table': success | time=2ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table': success | time=12ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index': success | time=4ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table'...
2022.05.30 10:50:58 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table': success | time=2ms
2022.05.30 10:50:58 INFO  web[][DbMigrations] Executed DB migrations: success | time=621ms
2022.05.30 10:50:58 INFO  web[][o.s.s.p.Platform] Database has been automatically updated
2022.05.30 10:50:58 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.platform.web.WebServiceFilter@38aa7778 [pattern=UrlPattern{inclusions=[/api/system/migrate_db.*, ...], exclusions=[/api/components/update_key, ...]}]
2022.05.30 10:50:58 INFO  web[][o.s.s.a.EmbeddedTomcat] HTTP connector enabled on port 9000
2022.05.30 10:50:59 INFO  web[][o.s.s.p.UpdateCenterClient] Update center: https://update.sonarsource.org/update-center.properties (no proxy)
2022.05.30 10:51:00 INFO  web[][o.s.s.e.IndexCreator] Create index [metadatas]
2022.05.30 10:51:01 INFO  web[][o.s.s.e.IndexCreator] Create type metadatas/metadata
2022.05.30 10:51:01 INFO  web[][o.s.s.e.IndexCreator] Create index [components]
2022.05.30 10:51:02 INFO  web[][o.s.s.e.IndexCreator] Create type components/auth
2022.05.30 10:51:02 INFO  web[][o.s.s.e.IndexCreator] Create index [projectmeasures]
2022.05.30 10:51:02 INFO  web[][o.s.s.e.IndexCreator] Create type projectmeasures/auth
2022.05.30 10:51:02 INFO  web[][o.s.s.e.IndexCreator] Create index [rules]
2022.05.30 10:51:03 INFO  web[][o.s.s.e.IndexCreator] Create type rules/rule
2022.05.30 10:51:03 INFO  web[][o.s.s.e.IndexCreator] Create index [issues]
2022.05.30 10:51:03 INFO  web[][o.s.s.e.IndexCreator] Create type issues/auth
